Geneid	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/188_F_CB2YGANXX_TTAGGC_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/179_F_CB2YGANXX_ATCACG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/192_F_CB2YGANXX_ACAGTG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/190_F_CB2YGANXX_TGACCA_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/187_F_CB2YGANXX_CGATGT_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/194_F_CB2YGANXX_GCCAAT_L001Aligned.sortedByCoord.out.bam
ENSRNOG00000054845	1	0	0	0	0	0
ENSRNOG00000023407	1	1	0	1	4	0
ENSRNOG00000023387	0	0	0	0	0	0
ENSRNOG00000012581	1	1	0	1	0	0
ENSRNOG00000039788	3	1	1	2	0	0
ENSRNOG00000051400	2	0	0	1	0	0
ENSRNOG00000039783	5	5	0	8	4	10
ENSRNOG00000028357	6	4	16	2	3	1
ENSRNOG00000012775	190	283	253	345	507	613
ENSRNOG00000013331	573	990	1410	1507	1394	2131
ENSRNOG00000014485	286	413	276	688	748	865
ENSRNOG00000014721	15	6	16	10	6	12
ENSRNOG00000039776	224	381	504	701	776	966
ENSRNOG00000015159	20	5	7	2	0	0
ENSRNOG00000015465	48	153	223	208	223	244
ENSRNOG00000028261	10	7	16	3	9	9
ENSRNOG00000039743	5	1	3	0	0	0
ENSRNOG00000060926	2	1	3	1	0	0
ENSRNOG00000015676	180	287	424	495	562	661
ENSRNOG00000015810	88	152	189	332	336	416
ENSRNOG00000051415	0	0	1	0	0	0
ENSRNOG00000045233	1	0	0	0	0	1
ENSRNOG00000016103	65	111	262	195	169	304
ENSRNOG00000016372	142	178	268	403	171	260
ENSRNOG00000056712	0	0	2	1	0	0
ENSRNOG00000026501	12	5	3	5	0	0
ENSRNOG00000016253	9	3	9	3	0	0
ENSRNOG00000061518	6	2	5	1	0	0
ENSRNOG00000025327	14	21	49	42	17	31
ENSRNOG00000016923	307	392	553	636	460	678
ENSRNOG00000017302	8	5	2	5	0	0
ENSRNOG00000017930	227	476	929	853	595	779
ENSRNOG00000053180	3	1	0	1	0	1
ENSRNOG00000047971	0	0	0	0	0	0
ENSRNOG00000049394	0	0	0	0	0	0
ENSRNOG00000012720	9	2	2	4	0	0
